Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
331.900661499938,3.597,3.5993,3.6003,3.5994,3.5969,3.5962,0.0,0.0,0.0,0.0,0.0,0.0
336.9109605998965,3.5969,3.5992,3.5999,3.5992,3.5968,3.5959,0.0,0.0,0.0,0.0,0.0,0.0
341.9207782999147,3.5967,3.599,3.6,3.5992,3.5966,3.5958,0.0,0.0,0.0,0.0,0.0,0.0
346.915659399936,3.5989,3.603,3.604,3.6034,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
351.9261573998956,3.5991,3.6028,3.6039,3.6034,3.6012,3.6025,0.0,0.0,0.0,0.0,0.0,0.0
356.9360415999545,3.5992,3.603,3.6042,3.6034,3.6013,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
361.94648959999904,3.5992,3.6029,3.6041,3.6035,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
366.9579511999618,3.5994,3.6029,3.6042,3.6036,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
371.96796879998874,3.5993,3.6031,3.6041,3.6035,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
376.9787091999315,3.5994,3.6031,3.6043,3.6038,3.6012,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
381.9885230999207,3.5994,3.6033,3.6044,3.6037,3.6015,3.6029,0.0,0.0,0.0001,0.0,0.0,0.0
386.9994628999848,3.5995,3.6033,3.6043,3.6037,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
392.00920429988764,3.5997,3.6032,3.6043,3.6037,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
397.02057689998765,3.5995,3.6031,3.6045,3.6036,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
402.0138811999932,3.5997,3.6033,3.6042,3.6039,3.6016,3.603,0.0,0.0,0.0,0.0,0.0,0.0
407.0248198999325,3.5997,3.6032,3.6043,3.6038,3.6015,3.603,0.0,0.0001,0.0,0.0,0.0,0.0
412.03443679993507,3.5997,3.6033,3.6045,3.6039,3.6016,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
417.045616599964,3.5999,3.6034,3.6045,3.6038,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.0559924999252,3.5999,3.6031,3.6045,3.6039,3.6014,3.6029,0.0,0.0001,0.0,0.0,0.0,0.0
422.0925885998877,3.5997,3.6032,3.6045,3.6037,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.0942740999162,3.5997,3.6034,3.6044,3.6038,3.6013,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.1046325999778,3.6,3.6034,3.6045,3.6039,3.6013,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.1353507998865,3.5999,3.6032,3.6044,3.604,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.1512696999125,3.5999,3.6033,3.6045,3.604,3.6016,3.6028,0.0,0.0001,0.0,0.0001,0.0,0.0
422.16729509993456,3.5998,3.6034,3.6047,3.604,3.6016,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.1833947999403,3.6,3.6032,3.6045,3.6038,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.1994233999867,3.5998,3.6033,3.6045,3.6039,3.6016,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.2153360999655,3.5998,3.6033,3.6044,3.6038,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.23144299990963,3.5999,3.6032,3.6045,3.6037,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.2480550999753,3.5997,3.6032,3.6046,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.26438889990095,3.5997,3.6032,3.6044,3.6039,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.3031898998888,3.5998,3.6033,3.6046,3.6037,3.6015,3.6029,0.0,0.0001,0.0,0.0,0.0,0.0
422.3098557998892,3.5998,3.6033,3.6046,3.6039,3.6016,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.31369159999304,3.5998,3.6033,3.6045,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.34398429992143,3.5999,3.6032,3.6044,3.6038,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.3599353999598,3.5999,3.603,3.6045,3.6039,3.6017,3.6028,0.0,0.0001,0.0,0.0,0.0,0.0
422.37603679997846,3.5999,3.6033,3.6045,3.6038,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.3921386000002,3.5999,3.6032,3.6045,3.6037,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.40768809989095,3.5997,3.6031,3.6046,3.6038,3.6013,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.42373509996105,3.5998,3.6031,3.6046,3.6038,3.6014,3.6028,0.0,0.0001,0.0,0.0,0.0,0.0
422.4399415999651,3.5998,3.6031,3.6045,3.6038,3.6014,3.6028,0.0,0.0,0.0,0.0001,0.0,0.0
422.45729009993374,3.5999,3.6033,3.6046,3.6039,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.47394299996085,3.5997,3.6034,3.6044,3.6038,3.6014,3.6028,0.0,0.0,0.0,0.0001,0.0,0.0
422.4898757999763,3.5999,3.6033,3.6045,3.604,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
