2ndRef_1,Temp_1,SC_1
1282.4887138999766,65535,23682,10817
1282.5053125999402,65535,23682,10816
1282.5331558999605,65535,23681,10817
1282.5492192999227,65535,23684,10817
1282.5664869999746,65535,23684,10815
1282.58469779999,65535,23684,10816
1282.5992846000008,65535,23684,10817
1282.6163706999505,65535,23682,10816
1282.633143999963,65535,23684,10817
1282.6492923999904,65535,23685,10816
1282.6647792999865,65535,23685,10816
1282.6796543999808,65535,23684,10816
1282.696433099918,65535,23685,10818
1282.7134133999934,65535,23683,10817
1282.7413986999309,65535,23686,10815
1282.7573041999713,65535,23684,10816
1282.7753170999931,65535,23687,10816
1282.791121999966,65535,23687,10816
1282.8074516999768,65535,23688,10816
1282.8231214999687,65535,23686,10819
1282.8396579999244,65535,23684,10815
1282.8563662999077,65535,23685,10815
1282.8724775998853,65535,23686,10817
1282.8881237999303,65535,23686,10815
1282.9054870998953,65535,23685,10815
1282.9213880999014,65535,23685,10816
1282.9494099000003,65535,23684,10816
1282.9653744999086,65535,23685,10816
1282.9836962999543,65535,23686,10817
1283.000445799902,65535,23689,10818
1283.0253383999225,65535,23690,10818
1283.0545731999446,65535,23688,10817
1283.059106899891,65535,23687,10816
1283.062644599937,65535,23683,10815
1283.0798963999841,65535,23686,10816
1283.096621899982,65535,23684,10815
1283.1138128999155,65535,23685,10817
1283.130669999984,65535,23683,10818
1283.1576401999919,65535,23687,10816
1283.1740190999117,65535,23684,10816
1283.1917442999547,65535,23686,10817
1283.2089580999454,65535,23686,10817
1283.2264419998974,65535,23684,10817
1283.2415159998927,65535,23683,10817
1283.256902199937,65535,23684,10816
1283.272812299896,65535,23688,10816
1283.2898117998848,65535,23685,10816
1283.304928699974,65535,23686,10816
1283.319892099942,65535,23688,10817
